Substance,Class,Sample.ID,total.Wt.Percent,mg,Per1,Per2,Per3,Per4,Per5,Per6,Per7,P3_7_index,P4_7_index,P5_7_index,P1_2_index,P1_index,P2_index,P3_index,P4_index,P5_index,P6_index,P7_index,Primary_PAH
134_HFO,HFO,134,27,1080,1,18,65,15,1,0,0,21.87,4.32,0.27,5.13,0.27,4.86,17.55,4.05,0.27,0,0,3
135_TDAE,TDAE,10,8.4,336,0,0,16,56,27,1,0,8.4,7.056,2.352,0,0,0,1.344,4.704,2.268,0.084,0,4
136_slackwax,WAX,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
137_OLBO,BO,88,0.083,3.32,0,49,51,0,0,0,0,0.04233,0,0,0.04067,0,0.04067,0.04233,0,0,0,0,3
138_OLBO,BO,129,0.89,35.6,0,2,3,6,18,37,33,0.8633,0.8366,0.7832,0.0178,0,0.0178,0.0267,0.0534,0.1602,0.3293,0.2937,6
139_OLBO,BO,138,0.1,4,0,7,58,16,9,9,2,0.094,0.036,0.02,0.007,0,0.007,0.058,0.016,0.009,0.009,0.002,3
140_OLBO,BO,70,0.88,35.2,0,0,1,5,17,38,39,0.88,0.8712,0.8272,0,0,0,0.0088,0.044,0.1496,0.3344,0.3432,7
141_gasoline,NAPTHA,67,3,120,59,41,0,0,0,0,0,0,0,0,3,1.77,1.23,0,0,0,0,0,1
145_HRBO,BO,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
146_gasoline,NAPTHA,153,11,440,85,15,0,0,0,0,0,0,0,0,11,9.35,1.65,0,0,0,0,0,1
147_OLBO,BO,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148_OLBO,BO,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
149_OLBO,BO,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150_OLBO,BO,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
151_OLBO,BO,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
152_slackwax,WAX,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
153_OLBO,BO,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
154_OLBO,BO,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
